2025-11-14 15:05:40,490 | root | INFO | Логирование инициализировано
2025-11-14 15:05:41,077 | src.rag | INFO | Загружена существующая БД
2025-11-14 15:05:41,077 | src.rag | INFO | RAG инициализирован: /home/medj/projects/hackatons/alpha_hackaton/src/../chroma_db
2025-11-14 15:05:41,077 | src.llm | INFO | LLM модель: qwen3:30b
2025-11-14 15:05:41,080 | src.bot | INFO | RAG пуст. Загружаю ВСЕ CSV из data/ (2 файлов)...
2025-11-14 15:05:41,080 | src.bot | INFO | Загружаю: questions_clean.csv...
2025-11-14 15:05:41,141 | src.rag | INFO | Загружаю 6977 документов из /home/medj/projects/hackatons/alpha_hackaton/src/../data/questions_clean.csv батчами по 4000
2025-11-14 15:06:14,616 | root | INFO | Логирование инициализировано
2025-11-14 15:06:14,766 | root | INFO | Логирование инициализировано
2025-11-14 15:06:14,767 | root | INFO | Логирование инициализировано
2025-11-14 15:06:15,395 | src.rag | INFO | Создана новая БД
2025-11-14 15:06:15,395 | src.rag | INFO | RAG инициализирован: /home/medj/projects/hackatons/alpha_hackaton/src/../chroma_db
2025-11-14 15:06:15,396 | src.llm | INFO | LLM модель: qwen3:30b
2025-11-14 15:06:15,401 | src.bot | INFO | RAG пуст. Загружаю ВСЕ CSV из data/ (2 файлов)...
2025-11-14 15:06:15,401 | src.bot | INFO | Загружаю: questions_clean.csv...
2025-11-14 15:06:15,493 | src.rag | INFO | Загружаю 6977 документов из /home/medj/projects/hackatons/alpha_hackaton/src/../data/questions_clean.csv батчами по 4000
2025-11-14 15:11:20,432 | src.rag | INFO | Успешно загружено 6977 документов из /home/medj/projects/hackatons/alpha_hackaton/src/../data/questions_clean.csv
2025-11-14 15:11:20,435 | src.bot | INFO | УСПЕШНО: questions_clean.csv
2025-11-14 15:11:20,435 | src.bot | INFO | Загружаю: websites.csv...
2025-11-14 15:11:20,669 | src.bot | CRITICAL | ОШИБКА при загрузке websites.csv: Error loading /home/medj/projects/hackatons/alpha_hackaton/src/../data/websites.csv
2025-11-14 15:11:40,111 | root | INFO | Логирование инициализировано
2025-11-14 15:11:40,258 | root | INFO | Логирование инициализировано
2025-11-14 15:11:40,258 | root | INFO | Логирование инициализировано
2025-11-14 15:11:40,841 | src.rag | INFO | Загружена существующая БД
2025-11-14 15:11:40,841 | src.rag | INFO | RAG инициализирован: /home/medj/projects/hackatons/alpha_hackaton/src/../chroma_db
2025-11-14 15:11:40,841 | src.llm | INFO | LLM модель: qwen3:30b
2025-11-14 15:11:40,902 | src.bot | INFO | RAG уже содержит 6977 документов. Пропускаем загрузку.
2025-11-14 15:11:40,905 | root | INFO | Логирование инициализировано
2025-11-14 15:11:40,914 | __main__ | INFO | ChromaDB загружена: 6977 документов
2025-11-14 15:11:40,914 | __main__ | INFO | Бот запущен...
2025-11-14 15:12:00,407 | src.bot | INFO | Вопрос: Узнать зарплатный счет
2025-11-14 15:13:11,521 | httpx | INFO | HTTP Request: POST http://127.0.0.1:11434/api/generate "HTTP/1.1 200 OK"
2025-11-14 15:13:11,523 | src.llm | INFO | LLM ОТВЕТ: Уточните реквизиты зарплатного счета в банке.
2025-11-14 15:13:11,523 | src.llm | INFO | LLM ответил за 71.05с
2025-11-14 15:13:11,757 | src.bot | INFO | ОТПРАВЛЕНО пользователю: Уточните реквизиты зарплатного счета в банке.
